Image,"(1, 'R=000-063', 'G=000-063', 'B=000-063')","(2, 'R=064-127', 'G=000-063', 'B=000-063')","(3, 'R=128-191', 'G=000-063', 'B=000-063')","(4, 'R=192-255', 'G=000-063', 'B=000-063')","(5, 'R=000-063', 'G=064-127', 'B=000-063')","(6, 'R=064-127', 'G=064-127', 'B=000-063')","(7, 'R=128-191', 'G=064-127', 'B=000-063')","(8, 'R=192-255', 'G=064-127', 'B=000-063')","(9, 'R=000-063', 'G=128-191', 'B=000-063')","(10, 'R=064-127', 'G=128-191', 'B=000-063')","(11, 'R=128-191', 'G=128-191', 'B=000-063')","(12, 'R=192-255', 'G=128-191', 'B=000-063')","(13, 'R=000-063', 'G=192-255', 'B=000-063')","(14, 'R=064-127', 'G=192-255', 'B=000-063')","(15, 'R=128-191', 'G=192-255', 'B=000-063')","(16, 'R=192-255', 'G=192-255', 'B=000-063')","(17, 'R=000-063', 'G=000-063', 'B=064-127')","(18, 'R=064-127', 'G=000-063', 'B=064-127')","(19, 'R=128-191', 'G=000-063', 'B=064-127')","(20, 'R=192-255', 'G=000-063', 'B=064-127')","(21, 'R=000-063', 'G=064-127', 'B=064-127')","(22, 'R=064-127', 'G=064-127', 'B=064-127')","(23, 'R=128-191', 'G=064-127', 'B=064-127')","(24, 'R=192-255', 'G=064-127', 'B=064-127')","(25, 'R=000-063', 'G=128-191', 'B=064-127')","(26, 'R=064-127', 'G=128-191', 'B=064-127')","(27, 'R=128-191', 'G=128-191', 'B=064-127')","(28, 'R=192-255', 'G=128-191', 'B=064-127')","(29, 'R=000-063', 'G=192-255', 'B=064-127')","(30, 'R=064-127', 'G=192-255', 'B=064-127')","(31, 'R=128-191', 'G=192-255', 'B=064-127')","(32, 'R=192-255', 'G=192-255', 'B=064-127')","(33, 'R=000-063', 'G=000-063', 'B=128-191')","(34, 'R=064-127', 'G=000-063', 'B=128-191')","(35, 'R=128-191', 'G=000-063', 'B=128-191')","(36, 'R=192-255', 'G=000-063', 'B=128-191')","(37, 'R=000-063', 'G=064-127', 'B=128-191')","(38, 'R=064-127', 'G=064-127', 'B=128-191')","(39, 'R=128-191', 'G=064-127', 'B=128-191')","(40, 'R=192-255', 'G=064-127', 'B=128-191')","(41, 'R=000-063', 'G=128-191', 'B=128-191')","(42, 'R=064-127', 'G=128-191', 'B=128-191')","(43, 'R=128-191', 'G=128-191', 'B=128-191')","(44, 'R=192-255', 'G=128-191', 'B=128-191')","(45, 'R=000-063', 'G=192-255', 'B=128-191')","(46, 'R=064-127', 'G=192-255', 'B=128-191')","(47, 'R=128-191', 'G=192-255', 'B=128-191')","(48, 'R=192-255', 'G=192-255', 'B=128-191')","(49, 'R=000-063', 'G=000-063', 'B=192-255')","(50, 'R=064-127', 'G=000-063', 'B=192-255')","(51, 'R=128-191', 'G=000-063', 'B=192-255')","(52, 'R=192-255', 'G=000-063', 'B=192-255')","(53, 'R=000-063', 'G=064-127', 'B=192-255')","(54, 'R=064-127', 'G=064-127', 'B=192-255')","(55, 'R=128-191', 'G=064-127', 'B=192-255')","(56, 'R=192-255', 'G=064-127', 'B=192-255')","(57, 'R=000-063', 'G=128-191', 'B=192-255')","(58, 'R=064-127', 'G=128-191', 'B=192-255')","(59, 'R=128-191', 'G=128-191', 'B=192-255')","(60, 'R=192-255', 'G=128-191', 'B=192-255')","(61, 'R=000-063', 'G=192-255', 'B=192-255')","(62, 'R=064-127', 'G=192-255', 'B=192-255')","(63, 'R=128-191', 'G=192-255', 'B=192-255')","(64, 'R=192-255', 'G=192-255', 'B=192-255')"
2098late4,0.15407899022102356,0.13454271852970123,0.0,0.0,0.00025075735175050795,0.8434223532676697,0.018977772444486618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000980233307927847,0.001162602216936648,0.0,0.0,2.279612272104714e-05,0.3206844627857208,0.2606508731842041,0.0,0.0,0.000980233307927847,0.2738042175769806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026204142719507217,0.0006154953152872622,0.0,0.0,0.0,6.838836998213083e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2076late6,0.12497003376483917,0.09178672730922699,0.0,0.0,0.001123413210734725,0.5898538827896118,0.0011931422632187605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041062687523663044,0.000681795587297529,0.0,0.0,0.00010846748045878485,0.6973528861999512,0.21215464174747467,0.0,0.0,0.006601020693778992,0.30837303400039673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.747677045699675e-06,7.747677045699675e-06,0.0,0.0,0.0,0.03973008692264557,0.00015495353727601469,0.0,0.0,7.747677045699675e-06,0.00010846748045878485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3243032046593726e-05
2144disease7,0.02364310994744301,0.0019760278519243,0.0,0.0,1.2586164302774705e-05,0.12216760218143463,0.010597550310194492,0.0,0.0,0.007935576140880585,0.019338641315698624,0.0,0.0,0.0,0.0,0.0,0.00010068931442219764,0.0003398264234419912,0.0,0.0,0.0,0.31515127420425415,0.06861347705125809,0.0,0.0,0.0722823441028595,0.934975802898407,0.004373691976070404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.034465721109882e-05,6.2930821513873525e-06,0.0,0.0,0.0,0.01142194401472807,0.018325455486774445,0.0,0.0,0.0,0.0066203223541378975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000975427741650492
2076late5,0.11548088490962982,0.020120488479733467,0.0,0.0,0.0002644755586516112,0.39710667729377747,0.03103180043399334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011799678904935718,0.00029838268528692424,0.0,0.0,0.00020344274525996298,0.34488293528556824,0.45360273122787476,0.0,0.0,0.000915492360945791,0.7081977725028992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002576941333245486,2.0344274162198417e-05,0.0,0.0,0.0,0.03669428825378418,0.002814291277900338,0.0,0.0,4.0688548324396834e-05,0.0003322898119222373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7125699489261024e-05,6.781424872315256e-06,0.0,0.0,0.0,0.0013901920756325126
2044ready5,0.03580322861671448,0.0009501460008323193,0.0,0.0,0.004218072630465031,0.06928867846727371,0.0,0.0,0.0,0.06776268780231476,0.0,0.0,0.0,0.0,0.0,0.0,2.8792303055524826e-05,1.4396151527762413e-05,0.0,0.0,2.8792303055524826e-05,0.14614972472190857,0.00028792303055524826,0.0,0.0,0.4479362666606903,0.8753724098205566,0.0,0.0,0.0,0.0038869609124958515,0.0,0.0,0.0,0.0,0.0,0.0,1.4396151527762413e-05,0.0,0.0,0.0,2.8792303055524826e-05,0.026877615600824356,0.0,0.0,0.0,0.016785912215709686,0.0019722727593034506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027352687902748585
2039ready13,0.1114608570933342,0.000647275592200458,0.0,0.0,0.05765930935740471,0.574470043182373,0.0,0.0,0.0,0.005890207830816507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020712819241452962,0.360882043838501,0.005113477353006601,0.0,0.0,0.3556520640850067,0.6204395294189453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019418267766013741,0.11161620169878006,0.00047898394404910505,0.0,0.0,0.004828676115721464,0.0027703396044671535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004919294733554125,0.003948381170630455
2039ready12,0.06857766956090927,0.00012026950571453199,0.0,0.0,0.009052284993231297,0.08199173212051392,0.0,0.0,0.0,0.046616461127996445,8.017967047635466e-06,0.0,0.0,0.0,0.0,0.0,0.00028864681371487677,8.017967047635466e-06,0.0,0.0,0.00011225153866689652,0.2648494839668274,0.0016597191570326686,0.0,0.0,0.7219217419624329,0.6283199787139893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6035934095270932e-05,1.6035934095270932e-05,0.0,0.0,0.0,0.014624771662056446,8.017967047635466e-06,0.0,0.0,0.000729635008610785,5.612576933344826e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2038ready3,0.24228210747241974,0.0,0.0,0.0,0.09204788506031036,0.8727045059204102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002011975593632087,0.0,0.0,0.0,0.000211257443879731,0.34080854058265686,0.0,0.0,0.0,0.12778057157993317,0.1410897970199585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.047902520047501e-05,0.0,0.0,0.0,0.00014083829591982067,0.13681434094905853,0.0,0.0,0.0,0.005874969065189362,0.0027664664667099714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.035927071934566e-05,0.0,0.0,0.0,0.00018107780488207936,0.00825915951281786
2063ready6,0.06457844376564026,0.0003797378158196807,0.0,0.0,0.010057298466563225,0.27397507429122925,0.0,0.0,0.0,0.05639681592583656,0.0,0.0,0.0,0.0,0.0,0.0,0.0002531585341785103,4.602882472681813e-05,0.0,0.0,9.205764945363626e-05,0.35634365677833557,0.0005638531292788684,0.0,0.0,0.8461939096450806,0.2635725438594818,0.0,0.0,0.0,3.4521617635618895e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.3014412363409065e-05,1.1507206181704532e-05,0.0,0.0,3.4521617635618895e-05,0.06956106424331665,3.4521617635618895e-05,0.0,0.0,0.012094073928892612,0.0009896197589114308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010356485290685669,0.0018756745848804712
2144disease1,0.03324132785201073,0.004309592768549919,0.0,0.0,0.0,0.08688139170408249,0.006938444450497627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7461238611722365e-05,0.0,0.0,0.0,2.8730619305861183e-05,0.5438993573188782,0.3215961754322052,0.0,0.0,0.01321608480066061,0.7583447098731995,0.0012928778305649757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.120639868080616,0.028716253116726875,0.0,0.0,0.0,0.03724924847483635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037349804188124835
